id,fare_amount,distance,fuel_consumption_categories
2,6,923.3759020702994,LESS FUEL CONSUMPTION
1,3,842.7274160292402,NORMAL FUEL CONSUMPTION
21,6,1055.4918595481456,LESS FUEL CONSUMPTION
17,10,1201.0771483817646,LESS FUEL CONSUMPTION
1,16,5401.792453797458,NORMAL FUEL CONSUMPTION
34,15,3416.882769590224,LESS FUEL CONSUMPTION
3,7,1493.5509672324554,LESS FUEL CONSUMPTION
15,24,12501.115859229214,HIGH FUEL CONSUMPTION
28,7,2346.80455257056,NORMAL FUEL CONSUMPTION
1,8,1932.1173900173678,LESS FUEL CONSUMPTION
131,5,1576.0041327173449,NORMAL FUEL CONSUMPTION
4,5,832.8901452418131,LESS FUEL CONSUMPTION
1,8,1485.2942088154916,LESS FUEL CONSUMPTION
48,17,5898.144803574272,NORMAL FUEL CONSUMPTION
3,8,2531.4326437163313,NORMAL FUEL CONSUMPTION
4,12,1657.162123521276,LESS FUEL CONSUMPTION
4,12,5134.3678507913355,HIGH FUEL CONSUMPTION
34,7,2517.709164581127,HIGH FUEL CONSUMPTION
19,6,1754.6474819028576,NORMAL FUEL CONSUMPTION
6,5,591.3542519650073,LESS FUEL CONSUMPTION
4,10,3994.54035909985,HIGH FUEL CONSUMPTION
4,7,2217.4678107307514,NORMAL FUEL CONSUMPTION
5,11,1989.7281537035058,LESS FUEL CONSUMPTION
2,5,1297.099941692179,NORMAL FUEL CONSUMPTION
194,9,2234.163504030353,LESS FUEL CONSUMPTION
119,13,3215.4581617269687,LESS FUEL CONSUMPTION
25,7,1422.0335592311005,LESS FUEL CONSUMPTION
9,9,1495.7239153509965,LESS FUEL CONSUMPTION
2,14,3508.393317445615,NORMAL FUEL CONSUMPTION
66,5,1307.4430971359322,NORMAL FUEL CONSUMPTION
5,10,2439.684854585422,LESS FUEL CONSUMPTION
1,5,1181.99467126794,LESS FUEL CONSUMPTION
24,9,4212.495412035023,HIGH FUEL CONSUMPTION
4,14,6141.320826528041,HIGH FUEL CONSUMPTION
142,7,755.6622791339225,LESS FUEL CONSUMPTION
1,52,0.0,LESS FUEL CONSUMPTION
76,11,4074.1639145779723,HIGH FUEL CONSUMPTION
1,8,3304.5125062898655,HIGH FUEL CONSUMPTION
217,12,2927.5551621990503,LESS FUEL CONSUMPTION
4,9,565.343297087952,LESS FUEL CONSUMPTION
217,9,2041.0066128323388,LESS FUEL CONSUMPTION
87,10,2006.3230935815434,LESS FUEL CONSUMPTION
201,35,7589.139186067608,LESS FUEL CONSUMPTION
215,9,1494.7625004577244,LESS FUEL CONSUMPTION
1,17,2956.6902036064903,LESS FUEL CONSUMPTION
193,6,1106.5511292345261,LESS FUEL CONSUMPTION
1,14,4612.238728805426,NORMAL FUEL CONSUMPTION
4,3,480.6595433440155,LESS FUEL CONSUMPTION
1,32,8321.412298404388,NORMAL FUEL CONSUMPTION
5,5,1521.4422598282079,NORMAL FUEL CONSUMPTION
4,11,3260.648982224436,NORMAL FUEL CONSUMPTION
3,4,939.5743848890834,LESS FUEL CONSUMPTION
1,10,2656.6345152509534,NORMAL FUEL CONSUMPTION
2,17,9715.918175318668,HIGH FUEL CONSUMPTION
1,5,1679.4417368260022,NORMAL FUEL CONSUMPTION
6,19,5873.388256086379,NORMAL FUEL CONSUMPTION
5,8,2326.905067076424,NORMAL FUEL CONSUMPTION
21,7,1876.7742390412657,NORMAL FUEL CONSUMPTION
111,6,1798.7801134256824,NORMAL FUEL CONSUMPTION
25,8,1385.031639464996,LESS FUEL CONSUMPTION
213,16,5462.820691014991,NORMAL FUEL CONSUMPTION
225,49,19875.79361563165,HIGH FUEL CONSUMPTION
4,10,3670.9138749193394,HIGH FUEL CONSUMPTION
159,22,13324.801523211188,HIGH FUEL CONSUMPTION
93,11,3145.8448702273186,NORMAL FUEL CONSUMPTION
1,12,1264.7726063915225,LESS FUEL CONSUMPTION
167,5,715.1973301328788,LESS FUEL CONSUMPTION
3,6,1786.012392258147,NORMAL FUEL CONSUMPTION
2,16,6366.30374608316,HIGH FUEL CONSUMPTION
3,9,2900.305286217578,NORMAL FUEL CONSUMPTION
12,8,2082.8693848683115,NORMAL FUEL CONSUMPTION
2,10,3763.4948981919706,HIGH FUEL CONSUMPTION
1,8,2749.4589743818824,NORMAL FUEL CONSUMPTION
4,8,1789.4701662029274,LESS FUEL CONSUMPTION
1,17,2100.0206804606705,LESS FUEL CONSUMPTION
1,12,6147.450146027375,HIGH FUEL CONSUMPTION
144,52,20475.470995601783,HIGH FUEL CONSUMPTION
167,16,6518.6999419417,HIGH FUEL CONSUMPTION
5,8,2008.5341720005047,NORMAL FUEL CONSUMPTION
96,17,8813.925633808634,HIGH FUEL CONSUMPTION
4,5,2282.4003077557045,HIGH FUEL CONSUMPTION
2,5,1115.2873871585753,LESS FUEL CONSUMPTION
3,16,6653.7682548471,HIGH FUEL CONSUMPTION
126,12,5182.087164876837,HIGH FUEL CONSUMPTION
2,10,3181.792775206184,NORMAL FUEL CONSUMPTION
24,9,1534.6032388119552,LESS FUEL CONSUMPTION
12,4,981.5651627119482,LESS FUEL CONSUMPTION
2,6,966.7196059694842,LESS FUEL CONSUMPTION
5,21,8375.68097308142,HIGH FUEL CONSUMPTION
3,8,1046.8926978594022,LESS FUEL CONSUMPTION
1,4,1221.849108094303,NORMAL FUEL CONSUMPTION
2,5,919.1463112576309,LESS FUEL CONSUMPTION
128,15,5968.639083782077,HIGH FUEL CONSUMPTION
2,14,4016.208296260258,NORMAL FUEL CONSUMPTION
91,7,1140.5704722978403,LESS FUEL CONSUMPTION
2,35,14067.117550353027,HIGH FUEL CONSUMPTION
136,8,2284.077161733705,NORMAL FUEL CONSUMPTION
56,4,1047.631973488297,NORMAL FUEL CONSUMPTION
7,4,678.1975192243774,LESS FUEL CONSUMPTION
3,11,4840.99885928181,HIGH FUEL CONSUMPTION
4,23,10175.425418888142,HIGH FUEL CONSUMPTION
15,5,1107.9450134596964,LESS FUEL CONSUMPTION
115,5,1436.1287941979158,NORMAL FUEL CONSUMPTION
3,10,1375.4880726642568,LESS FUEL CONSUMPTION
4,4,1562.5321028492733,HIGH FUEL CONSUMPTION
17,6,1430.7224526898272,LESS FUEL CONSUMPTION
3,11,3084.418079954657,NORMAL FUEL CONSUMPTION
1,11,4588.164381399996,HIGH FUEL CONSUMPTION
2,5,847.4253700060453,LESS FUEL CONSUMPTION
2,5,1398.711408870378,NORMAL FUEL CONSUMPTION
158,8,2817.069433545603,HIGH FUEL CONSUMPTION
1,6,2238.4288559162896,HIGH FUEL CONSUMPTION
2,9,2472.5044513319344,NORMAL FUEL CONSUMPTION
129,4,3.977398856779838,LESS FUEL CONSUMPTION
35,5,1389.4585441541346,NORMAL FUEL CONSUMPTION
22,16,5341.83965087072,NORMAL FUEL CONSUMPTION
2,17,5138.055440158476,NORMAL FUEL CONSUMPTION
58,24,5982.99281353615,LESS FUEL CONSUMPTION
13,6,1680.4248401591228,NORMAL FUEL CONSUMPTION
4,6,1654.9052083427096,NORMAL FUEL CONSUMPTION
6,6,0.0,LESS FUEL CONSUMPTION
17,4,969.5532959356581,LESS FUEL CONSUMPTION
89,27,7055.1937413111855,NORMAL FUEL CONSUMPTION
78,16,1580.7862486837787,LESS FUEL CONSUMPTION
32,16,5158.295961825314,NORMAL FUEL CONSUMPTION
1,15,3609.9947556731395,LESS FUEL CONSUMPTION
113,26,10681.999766091225,HIGH FUEL CONSUMPTION
198,5,779.6912978872656,LESS FUEL CONSUMPTION
1,6,1173.4217770735024,LESS FUEL CONSUMPTION
7,7,1600.1564345029253,LESS FUEL CONSUMPTION
85,12,3505.3482560497314,NORMAL FUEL CONSUMPTION
241,11,4237.160927990326,HIGH FUEL CONSUMPTION
49,42,18012.156004697186,HIGH FUEL CONSUMPTION
129,5,964.2075418362465,LESS FUEL CONSUMPTION
1,5,891.879613442069,LESS FUEL CONSUMPTION
1,10,3632.6508347028143,HIGH FUEL CONSUMPTION
4,7,3893.0749995738365,HIGH FUEL CONSUMPTION
2,4,743.6210494767591,LESS FUEL CONSUMPTION
6,12,2695.5170574733556,LESS FUEL CONSUMPTION
4,16,6626.072014437794,HIGH FUEL CONSUMPTION
27,4,921.5807356623947,LESS FUEL CONSUMPTION
125,4,944.5725963063059,LESS FUEL CONSUMPTION
3,15,4516.454782784107,NORMAL FUEL CONSUMPTION
6,11,3291.1750455321235,NORMAL FUEL CONSUMPTION
4,4,1117.130655853987,NORMAL FUEL CONSUMPTION
2,11,5748.612290630995,HIGH FUEL CONSUMPTION
41,7,3513.2769237053158,HIGH FUEL CONSUMPTION
62,14,2349.5611774980557,LESS FUEL CONSUMPTION
12,30,9473.234419909455,NORMAL FUEL CONSUMPTION
1,6,1818.8503330762176,NORMAL FUEL CONSUMPTION
56,3,153.90332880562767,LESS FUEL CONSUMPTION
2,4,691.3712164599242,LESS FUEL CONSUMPTION
87,12,2327.427260151531,LESS FUEL CONSUMPTION
1,9,1183.627067592827,LESS FUEL CONSUMPTION
2,2,69.1154716346388,LESS FUEL CONSUMPTION
13,8,2364.2848622682022,NORMAL FUEL CONSUMPTION
1,10,1886.7674669097678,LESS FUEL CONSUMPTION
86,5,1003.6435576681354,LESS FUEL CONSUMPTION
2,7,1519.484937706873,LESS FUEL CONSUMPTION
3,12,4927.0547687824355,HIGH FUEL CONSUMPTION
21,49,20332.740044041537,HIGH FUEL CONSUMPTION
53,4,1484.7279733116386,HIGH FUEL CONSUMPTION
95,7,1807.6584302177087,NORMAL FUEL CONSUMPTION
52,5,2016.6749073250078,HIGH FUEL CONSUMPTION
123,6,2659.4942820889337,HIGH FUEL CONSUMPTION
211,9,2561.3987520613305,NORMAL FUEL CONSUMPTION
6,6,1700.9746129227583,NORMAL FUEL CONSUMPTION
5,7,2220.8283110580737,NORMAL FUEL CONSUMPTION
11,9,2448.723046497567,NORMAL FUEL CONSUMPTION
1,13,3298.784586230275,NORMAL FUEL CONSUMPTION
1,19,9178.917879951034,HIGH FUEL CONSUMPTION
4,5,1023.0430796460956,LESS FUEL CONSUMPTION
5,8,3499.4030978531005,HIGH FUEL CONSUMPTION
3,9,3058.3777769558515,NORMAL FUEL CONSUMPTION
1,18,4831.243611202656,NORMAL FUEL CONSUMPTION
131,12,2104.5280374303206,LESS FUEL CONSUMPTION
3,7,2301.484275614827,NORMAL FUEL CONSUMPTION
3,4,1230.999521720169,NORMAL FUEL CONSUMPTION
1,16,4309.417189024444,NORMAL FUEL CONSUMPTION
2,12,5959.717997489411,HIGH FUEL CONSUMPTION
6,4,642.6951066596829,LESS FUEL CONSUMPTION
8,15,4626.104698337604,NORMAL FUEL CONSUMPTION
2,11,3654.380219686595,NORMAL FUEL CONSUMPTION
3,25,14969.061684448348,HIGH FUEL CONSUMPTION
1,8,3075.315501516826,HIGH FUEL CONSUMPTION
97,6,756.1826089352622,LESS FUEL CONSUMPTION
1,6,1236.6664593801784,LESS FUEL CONSUMPTION
3,6,1495.6087147386827,LESS FUEL CONSUMPTION
3,7,2056.9726193925717,NORMAL FUEL CONSUMPTION
2,16,1986.1231495594968,LESS FUEL CONSUMPTION
1,4,827.0828328101895,LESS FUEL CONSUMPTION
2,9,4462.84154775259,HIGH FUEL CONSUMPTION
2,7,2919.7111333877588,HIGH FUEL CONSUMPTION
1,19,6278.546486148058,NORMAL FUEL CONSUMPTION
1,16,9326.647202486178,HIGH FUEL CONSUMPTION
53,10,2484.892626058496,LESS FUEL CONSUMPTION
186,8,2120.099309113276,NORMAL FUEL CONSUMPTION
5,7,0.0,LESS FUEL CONSUMPTION
112,5,904.4277814143946,LESS FUEL CONSUMPTION
153,10,4035.3254248811363,HIGH FUEL CONSUMPTION
98,5,1806.6961061654001,HIGH FUEL CONSUMPTION
1,18,5892.335425438713,NORMAL FUEL CONSUMPTION
17,10,4863.679301617457,HIGH FUEL CONSUMPTION
205,8,3945.988699693576,HIGH FUEL CONSUMPTION
72,13,5629.862667990252,HIGH FUEL CONSUMPTION
2,5,1413.3182908713993,NORMAL FUEL CONSUMPTION
3,5,1131.9472428823838,LESS FUEL CONSUMPTION
1,7,1656.807345675853,LESS FUEL CONSUMPTION
162,9,2593.3926642661386,NORMAL FUEL CONSUMPTION
173,16,2874.5074825068195,LESS FUEL CONSUMPTION
3,4,1053.6995069366421,NORMAL FUEL CONSUMPTION
2,5,1254.6780923407366,NORMAL FUEL CONSUMPTION
37,57,21398.40129527573,HIGH FUEL CONSUMPTION
5,8,1843.1706260128915,LESS FUEL CONSUMPTION
1,9,4006.485972808129,HIGH FUEL CONSUMPTION
2,7,1935.5770941089254,NORMAL FUEL CONSUMPTION
75,6,0.0,LESS FUEL CONSUMPTION
103,7,1772.9495546589226,NORMAL FUEL CONSUMPTION
64,8,2003.613603834842,NORMAL FUEL CONSUMPTION
7,6,2360.878028708594,HIGH FUEL CONSUMPTION
1,5,882.0457936813716,LESS FUEL CONSUMPTION
187,14,4173.299705534689,NORMAL FUEL CONSUMPTION
117,5,1673.055788931028,NORMAL FUEL CONSUMPTION
2,7,1406.3369108233392,LESS FUEL CONSUMPTION
56,12,3537.7768312334233,NORMAL FUEL CONSUMPTION
2,11,3354.788654160699,NORMAL FUEL CONSUMPTION
4,12,4281.425434173777,HIGH FUEL CONSUMPTION
2,26,8203.500008144538,NORMAL FUEL CONSUMPTION
128,4,1234.3603567737912,NORMAL FUEL CONSUMPTION
7,10,3145.8632787643583,NORMAL FUEL CONSUMPTION
1,7,2808.2111322492287,HIGH FUEL CONSUMPTION
7,25,7560.263031672355,NORMAL FUEL CONSUMPTION
3,19,4915.0679416760695,NORMAL FUEL CONSUMPTION
2,14,3348.2387818998573,LESS FUEL CONSUMPTION
2,5,1195.4674464229613,LESS FUEL CONSUMPTION
1,43,15721.379793740605,HIGH FUEL CONSUMPTION
2,8,1778.1329858999366,LESS FUEL CONSUMPTION
3,8,3164.5137808648183,HIGH FUEL CONSUMPTION
213,3,619.4181102473362,LESS FUEL CONSUMPTION
1,20,11025.562553380652,HIGH FUEL CONSUMPTION
12,34,15565.04338464535,HIGH FUEL CONSUMPTION
1,52,9263.399968145723,LESS FUEL CONSUMPTION
205,6,1834.2306993305262,NORMAL FUEL CONSUMPTION
188,8,1627.6338524658088,LESS FUEL CONSUMPTION
1,20,257.4295706241048,LESS FUEL CONSUMPTION
4,10,4465.0937589318655,HIGH FUEL CONSUMPTION
3,26,7743.5584391164475,NORMAL FUEL CONSUMPTION
2,8,2047.3485848987325,NORMAL FUEL CONSUMPTION
1,10,2809.6864147631136,NORMAL FUEL CONSUMPTION
2,4,1107.9396249696488,NORMAL FUEL CONSUMPTION
1,9,3270.161587813805,HIGH FUEL CONSUMPTION
5,20,7651.338495618228,HIGH FUEL CONSUMPTION
5,9,3151.6133346738047,HIGH FUEL CONSUMPTION
7,18,4972.3882838241125,NORMAL FUEL CONSUMPTION
2,5,423.02798835237013,LESS FUEL CONSUMPTION
2,34,9496.042304264805,NORMAL FUEL CONSUMPTION
2,23,7261.116980638814,NORMAL FUEL CONSUMPTION
4,4,538.1621876161005,LESS FUEL CONSUMPTION
32,8,2104.004920742053,NORMAL FUEL CONSUMPTION
225,26,86.36333831858111,LESS FUEL CONSUMPTION
148,5,938.3621014106598,LESS FUEL CONSUMPTION
5,6,876.3790158712908,LESS FUEL CONSUMPTION
12,4,724.7825599293914,LESS FUEL CONSUMPTION
79,5,1785.5205287761196,HIGH FUEL CONSUMPTION
34,8,2046.0884019791545,NORMAL FUEL CONSUMPTION
2,20,4446.450937280159,LESS FUEL CONSUMPTION
224,4,968.0095239325506,LESS FUEL CONSUMPTION
1,7,2063.6292810684645,NORMAL FUEL CONSUMPTION
3,7,2439.0206674198766,NORMAL FUEL CONSUMPTION
191,7,1221.4944229587204,LESS FUEL CONSUMPTION
1,33,10397.015050366103,NORMAL FUEL CONSUMPTION
132,36,9031.716754685696,NORMAL FUEL CONSUMPTION
48,5,783.1452339989781,LESS FUEL CONSUMPTION
3,23,5506.98835552646,LESS FUEL CONSUMPTION
39,6,1422.7096287750549,LESS FUEL CONSUMPTION
156,11,2534.2130737393263,LESS FUEL CONSUMPTION
124,6,1238.6578966796983,LESS FUEL CONSUMPTION
8,11,5039.831502564469,HIGH FUEL CONSUMPTION
125,8,1709.371519778944,LESS FUEL CONSUMPTION
3,8,3083.6376978924477,HIGH FUEL CONSUMPTION
46,4,1638.4590618854882,HIGH FUEL CONSUMPTION
6,11,2143.5357527611036,LESS FUEL CONSUMPTION
5,8,1622.0566643871828,LESS FUEL CONSUMPTION
2,8,1865.6585173496117,LESS FUEL CONSUMPTION
45,6,1192.9785140613546,LESS FUEL CONSUMPTION
268,6,1081.6085056217073,LESS FUEL CONSUMPTION
5,5,1091.0360687982654,LESS FUEL CONSUMPTION
1,6,1227.574927334326,LESS FUEL CONSUMPTION
3,9,2851.7191964891426,NORMAL FUEL CONSUMPTION
217,11,2639.766547589145,LESS FUEL CONSUMPTION
3,17,4927.139944864644,NORMAL FUEL CONSUMPTION
235,5,1273.3858745958014,NORMAL FUEL CONSUMPTION
2,10,2639.4764406887784,NORMAL FUEL CONSUMPTION
1,15,3722.253454987766,LESS FUEL CONSUMPTION
1,6,1904.9286703636303,NORMAL FUEL CONSUMPTION
3,18,6719.556919238783,HIGH FUEL CONSUMPTION
1,15,1708.6445960647823,LESS FUEL CONSUMPTION
3,10,3973.21707801267,HIGH FUEL CONSUMPTION
61,21,7645.475836619166,HIGH FUEL CONSUMPTION
43,8,1166.5633533695864,LESS FUEL CONSUMPTION
1,7,1064.4733224935355,LESS FUEL CONSUMPTION
6,8,1216.047569069563,LESS FUEL CONSUMPTION
54,6,1348.8889647672868,LESS FUEL CONSUMPTION
75,14,4800.282388827538,NORMAL FUEL CONSUMPTION
3,6,924.8022864655235,LESS FUEL CONSUMPTION
2,8,1807.3715809263213,LESS FUEL CONSUMPTION
2,8,1639.1145542913196,LESS FUEL CONSUMPTION
106,5,1622.9009782821067,NORMAL FUEL CONSUMPTION
6,10,2685.3271152721077,NORMAL FUEL CONSUMPTION
8,5,1097.5979294728666,LESS FUEL CONSUMPTION
1,8,1963.8452604965885,LESS FUEL CONSUMPTION
7,8,772.2310971110661,LESS FUEL CONSUMPTION
2,6,1902.5449389076086,NORMAL FUEL CONSUMPTION
2,12,4584.265069309066,HIGH FUEL CONSUMPTION
94,10,6329.376143313194,HIGH FUEL CONSUMPTION
155,8,1943.3103997918138,LESS FUEL CONSUMPTION
97,4,723.8258385576734,LESS FUEL CONSUMPTION
3,6,1838.0017319035758,NORMAL FUEL CONSUMPTION
2,5,581.5759333681625,LESS FUEL CONSUMPTION
6,12,0.0,LESS FUEL CONSUMPTION
5,13,2506.5893533956023,LESS FUEL CONSUMPTION
6,33,8745.406470333837,NORMAL FUEL CONSUMPTION
1,25,11045.584245063954,HIGH FUEL CONSUMPTION
4,13,4335.590476557989,NORMAL FUEL CONSUMPTION
1,10,3811.727096653302,HIGH FUEL CONSUMPTION
8,5,1184.0508662130044,LESS FUEL CONSUMPTION
9,9,2724.544910660148,NORMAL FUEL CONSUMPTION
7,22,7246.860609730685,NORMAL FUEL CONSUMPTION
89,7,1213.433331859594,LESS FUEL CONSUMPTION
4,14,4419.148038531187,NORMAL FUEL CONSUMPTION
148,9,2303.829002176822,NORMAL FUEL CONSUMPTION
1,4,555.7852929901891,LESS FUEL CONSUMPTION
65,5,1050.9573336915585,LESS FUEL CONSUMPTION
71,9,1921.5830746495365,LESS FUEL CONSUMPTION
52,7,1717.9521763826524,LESS FUEL CONSUMPTION
1,4,790.1583317239763,LESS FUEL CONSUMPTION
59,13,2184.5427606276494,LESS FUEL CONSUMPTION
115,5,1189.1052564328718,LESS FUEL CONSUMPTION
4,8,1649.9177135212226,LESS FUEL CONSUMPTION
4,20,7470.373208641661,HIGH FUEL CONSUMPTION
7,9,3475.2686938689667,HIGH FUEL CONSUMPTION
2,8,2752.6067939376358,NORMAL FUEL CONSUMPTION
74,8,2461.515721035006,NORMAL FUEL CONSUMPTION
83,5,757.584765610971,LESS FUEL CONSUMPTION
31,5,505.0041263040033,LESS FUEL CONSUMPTION
112,5,1394.319004192882,NORMAL FUEL CONSUMPTION
121,6,2553.940113931155,HIGH FUEL CONSUMPTION
3,8,1820.675501993554,LESS FUEL CONSUMPTION
3,6,2483.2002628849414,HIGH FUEL CONSUMPTION
75,29,4757.933721893977,LESS FUEL CONSUMPTION
131,21,6951.293327213791,NORMAL FUEL CONSUMPTION
1,14,4754.000258040498,NORMAL FUEL CONSUMPTION
121,32,9318.964840210409,NORMAL FUEL CONSUMPTION
4,6,3008.0800205606047,HIGH FUEL CONSUMPTION
1,13,2569.736096296813,LESS FUEL CONSUMPTION
4,15,1815.3490360652972,LESS FUEL CONSUMPTION
1,4,957.5647205436361,LESS FUEL CONSUMPTION
79,8,2781.1990552103116,NORMAL FUEL CONSUMPTION
1,8,2372.095536842354,NORMAL FUEL CONSUMPTION
1,6,1290.030187113309,LESS FUEL CONSUMPTION
42,57,20565.6662538613,HIGH FUEL CONSUMPTION
187,8,1718.1138510335138,LESS FUEL CONSUMPTION
14,8,2347.4966337893434,NORMAL FUEL CONSUMPTION
2,8,3572.599696602306,HIGH FUEL CONSUMPTION
182,10,939.6060236264989,LESS FUEL CONSUMPTION
164,10,5582.155589823703,HIGH FUEL CONSUMPTION
6,49,21439.575095964956,HIGH FUEL CONSUMPTION
4,5,1061.9114099706856,LESS FUEL CONSUMPTION
5,6,1340.4356881617787,LESS FUEL CONSUMPTION
182,13,3996.9563596868547,NORMAL FUEL CONSUMPTION
9,7,563.3168584705675,LESS FUEL CONSUMPTION
3,10,3115.806314009051,NORMAL FUEL CONSUMPTION
64,56,20756.04693836831,HIGH FUEL CONSUMPTION
173,14,3589.717111684093,NORMAL FUEL CONSUMPTION
17,11,95.648180563027,LESS FUEL CONSUMPTION
4,6,886.4442940543248,LESS FUEL CONSUMPTION
194,5,1823.427535282797,HIGH FUEL CONSUMPTION
5,13,3661.692567643875,NORMAL FUEL CONSUMPTION
41,22,7682.192585473793,NORMAL FUEL CONSUMPTION
3,18,4628.424895921408,NORMAL FUEL CONSUMPTION
5,14,3993.6159160309203,NORMAL FUEL CONSUMPTION
3,4,1085.919031596305,NORMAL FUEL CONSUMPTION
3,24,10456.993918954642,HIGH FUEL CONSUMPTION
3,25,9880.753158424663,HIGH FUEL CONSUMPTION
4,3,401.7463420851347,LESS FUEL CONSUMPTION
1,8,3725.6398093323214,HIGH FUEL CONSUMPTION
3,5,1532.5621915356369,NORMAL FUEL CONSUMPTION
195,4,951.0334737573058,LESS FUEL CONSUMPTION
46,3,1001.0418334503852,NORMAL FUEL CONSUMPTION
5,8,1550.0945668549937,LESS FUEL CONSUMPTION
183,16,6429.433777124805,HIGH FUEL CONSUMPTION
2,12,4746.365922060268,HIGH FUEL CONSUMPTION
2,8,1496.7043935323397,LESS FUEL CONSUMPTION
175,9,1958.8833472829917,LESS FUEL CONSUMPTION
46,23,8786.351922679965,HIGH FUEL CONSUMPTION
2,11,4133.661203943907,HIGH FUEL CONSUMPTION
2,6,1786.9585206690801,NORMAL FUEL CONSUMPTION
127,28,8282.307516383984,NORMAL FUEL CONSUMPTION
175,10,1011.8547236193214,LESS FUEL CONSUMPTION
17,10,2183.007742808306,LESS FUEL CONSUMPTION
35,7,2838.2740681359683,HIGH FUEL CONSUMPTION
4,8,1721.5782158679376,LESS FUEL CONSUMPTION
157,6,1284.5559274512339,LESS FUEL CONSUMPTION
131,20,4877.856790611267,LESS FUEL CONSUMPTION
61,9,2011.678937887222,LESS FUEL CONSUMPTION
1,7,1321.301381269944,LESS FUEL CONSUMPTION
136,8,3799.711291732372,HIGH FUEL CONSUMPTION
1,7,1782.6997926683753,NORMAL FUEL CONSUMPTION
3,11,3117.411964803334,NORMAL FUEL CONSUMPTION
