id,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,distance,passenger_count
2,11,2013-02-12 12:15:46 UTC,-73.957954,40.779252,-73.96125,40.758787,2289.6004596986263,1
1,4,2009-08-06 18:17:23 UTC,-73.991707,40.770505,-73.985459,40.763671,924.2441045040014,1
199,4,2010-12-06 12:29:00 UTC,-74.000632,40.747473,-73.986672,40.740577,1405.9235139209995,1
2,6,2009-12-10 15:37:00 UTC,-73.969622,40.756973,-73.981152,40.759712,1020.0186949045169,1
73,7,2011-06-21 16:15:00 UTC,-73.991875,40.754437,-73.97723,40.774323,2530.9552595077894,3
168,4,2011-06-28 19:47:00 UTC,-73.988893,40.76016,-73.986445,40.757857,328.84006830010884,3
2,9,2012-05-04 06:11:20 UTC,-73.989258,40.690835,-74.004133,40.72569,4069.5858697923804,1
26,4,2013-08-11 00:52:00 UTC,-73.98102,40.73776,-73.980668,40.730497,807.0951411532862,2
16,5,2014-02-19 16:03:00 UTC,-73.976075,40.752422,-73.981082,40.759285,871.5595199132572,1
1,22,2015-06-21 21:46:34 UTC,-74.01048278808594,40.71766662597656,-73.98577117919922,40.66036605834961,6697.198221406314,1
17,31,2009-01-09 16:10:00 UTC,-73.873027,40.773883,-73.984545,40.769545,9427.201063006261,3
194,5,2011-09-07 14:05:00 UTC,-73.976162,40.744988,-73.990002,40.738323,1383.5785158969688,2
1,18,2011-09-07 23:05:44 UTC,-73.993717,40.740785,-73.999272,40.676617,7141.191457179663,1
1,58,2015-01-11 03:15:38 UTC,-73.98332977294922,40.73871994018555,-73.93319702148438,40.847225189208984,12770.770447117504,1
1,4,2015-03-12 08:08:38 UTC,-73.99017333984375,40.756446838378906,-73.9856185913086,40.7628288269043,806.3478702435388,1
2,5,2012-01-19 10:15:30 UTC,-73.995199,40.75474,-74.005416,40.751084,953.5595605000154,1
113,9,2013-11-24 11:42:00 UTC,-73.95774,40.773617,-73.977087,40.758465,2345.1122927663273,6
3,9,2009-03-02 20:42:49 UTC,-73.972673,40.759186,-73.969897,40.791367,3581.361842116876,1
2,8,2011-03-29 15:39:49 UTC,-73.984267,40.744961,-73.981646,40.759608,1641.527705596427,1
4,10,2011-10-15 10:55:24 UTC,-74.003899,40.725514,-73.976484,40.765537,5011.471506557829,2
3,17,2013-11-22 08:38:09 UTC,-73.97845,40.76292,-74.008482,40.716502,5745.018977233457,1
22,12,2009-06-10 21:28:00 UTC,-73.988558,40.7372,-73.958688,40.780748,5454.207522785244,1
25,5,2011-03-04 18:12:00 UTC,-73.997037,40.737095,-73.986128,40.735043,949.2392434046557,1
3,6,2011-08-31 21:14:15 UTC,-73.971114,40.758944,-73.97793,40.736613,2545.7719621159267,1
119,4,2011-06-01 20:30:00 UTC,-73.980822,40.74442,-73.991093,40.748797,994.3496926448571,1
28,3,2011-12-14 07:53:00 UTC,-73.988877,40.763577,-73.985573,40.760262,461.89683534738055,1
83,3,2012-07-18 00:16:00 UTC,-73.98666,40.756072,-73.989727,40.751702,550.0748793838964,5
154,9,2013-01-29 12:26:00 UTC,-73.992253,40.742657,-73.983597,40.755947,1646.9698582267865,1
7,9,2011-12-06 09:09:21 UTC,-73.985582,40.739765,-73.973899,40.760426,2497.536793795035,1
3,5,2012-10-06 20:31:36 UTC,-73.952825,40.772048,-73.952194,40.781152,1012.3978327527775,3
5,8,2013-01-23 07:01:38 UTC,-73.980298,40.783723,-73.979628,40.763179,2282.102655550925,1
14,7,2013-09-07 03:17:00 UTC,-73.977708,40.746212,-73.975782,40.745055,207.28772008551508,1
2,25,2013-11-10 01:12:19 UTC,-73.974497,40.751603,-73.934927,40.851567,11592.35161289687,4
2,15,2012-01-04 18:07:29 UTC,-73.97151,40.755886,-73.968067,40.801173,5037.496126658893,1
97,34,2010-05-31 18:06:00 UTC,-73.985427,40.758853,-73.872907,40.774497,9657.731732497403,1
9,9,2011-03-19 21:55:00 UTC,-73.979542,40.727498,-73.999315,40.730088,1694.9858666682355,4
2,13,2012-07-19 23:53:14 UTC,-74.002113,40.739582,-73.971918,40.791899,6344.529327608863,2
2,6,2009-03-23 12:13:29 UTC,-73.98543,40.736011,-73.982501,40.724802,1269.0993171148762,1
69,5,2014-07-16 10:57:00 UTC,-73.996148,40.74189,-73.992202,40.739425,431.2967971317147,6
2,4,2011-04-22 23:21:03 UTC,-74.009137,40.713436,-74.002823,40.723428,1231.1819218574676,3
78,4,2012-01-02 14:54:00 UTC,-74.003985,40.731677,-73.999765,40.723512,974.2818489851902,1
198,7,2014-05-01 09:12:00 UTC,-73.966203,40.7675,-73.980915,40.77424,1450.1582672729187,6
3,7,2011-11-07 10:47:40 UTC,-74.003919,40.753019,-73.992368,40.735362,2190.0880766196333,1
3,7,2012-10-07 17:59:08 UTC,-74.004736,40.715882,-74.017723,40.705141,1620.818789180486,1
187,8,2014-01-17 09:03:00 UTC,-73.991467,40.750575,-73.98575,40.741547,1112.764068217973,4
5,16,2014-04-29 18:28:00 UTC,-73.970323,40.75084,-73.998392,40.724862,3734.0995112521155,6
1,11,2015-04-12 10:19:05 UTC,-73.97927856445312,40.72343826293945,-74.00460815429688,40.7469482421875,3375.4995907401762,6
7,5,2015-05-12 23:51:42 UTC,-73.95479583740234,40.779335021972656,-73.94493103027344,40.780086517333984,836.9057829621376,1
2,6,2009-08-02 02:34:11 UTC,-73.995781,40.723411,-74.005004,40.71895,923.3759020702994,2
1,3,2010-01-31 10:53:00 UTC,-74.00163,40.730767,-73.997112,40.737533,842.7274160292402,1
21,6,2010-05-14 08:09:00 UTC,-73.955118,40.768942,-73.963495,40.761887,1055.4918595481456,2
17,10,2012-05-21 15:20:00 UTC,-73.977788,40.771838,-73.9662,40.778113,1201.0771483817646,2
1,16,2014-12-08 16:00:01 UTC,-73.9828,40.745287,-74.01425,40.702935,5401.792453797458,1
34,15,2010-08-16 01:33:00 UTC,-73.961933,40.795585,-73.962253,40.764817,3416.882769590224,2
3,7,2010-12-04 14:26:13 UTC,-73.996601,40.736569,-73.982152,40.744322,1493.5509672324554,1
15,24,2011-08-12 04:20:00 UTC,-74.006662,40.73121,-73.92594,40.825588,12501.115859229214,1
28,7,2013-02-06 22:16:00 UTC,-73.988425,40.764342,-74.001642,40.745752,2346.80455257056,2
1,8,2014-06-11 22:24:21 UTC,-73.994128,40.735087,-73.986393,40.751461,1932.1173900173678,1
131,5,2010-08-19 16:33:00 UTC,-73.97383,40.763717,-73.98942,40.771522,1576.0041327173449,1
4,5,2013-03-10 15:44:00 UTC,-74.01336,40.702272,-74.01699,40.709245,832.8901452418131,1
1,8,2013-06-14 08:27:43 UTC,-73.95371,40.790813,-73.957015,40.777676,1485.2942088154916,1
48,17,2013-07-08 21:24:00 UTC,-74.009728,40.705167,-73.970897,40.749307,5898.144803574272,1
3,8,2014-03-21 11:00:29 UTC,-73.950688,40.828531,-73.964101,40.80814,2531.4326437163313,1
4,12,2014-10-02 13:39:56 UTC,-73.995387,40.749482,-73.975789,40.748741,1657.162123521276,1
4,12,2011-08-31 08:21:47 UTC,-73.917399,40.746485,-73.973756,40.763836,5134.3678507913355,1
34,7,2014-05-19 06:26:00 UTC,-73.990815,40.730495,-73.978337,40.751085,2517.709164581127,1
19,6,2012-04-05 05:50:00 UTC,-74.007443,40.732547,-73.991112,40.742312,1754.6474819028576,5
6,5,2015-03-04 14:55:40 UTC,-73.9887466430664,40.74495315551758,-73.99568176269531,40.74422073364258,591.3542519650073,2
4,10,2010-04-27 21:40:07 UTC,-74.001135,40.730979,-73.984424,40.76463,3994.54035909985,1
4,7,2011-02-22 11:09:16 UTC,-73.968881,40.764533,-73.985311,40.748956,2217.4678107307514,1
5,11,2015-04-03 16:21:30 UTC,-73.9810562133789,40.77426528930664,-73.95904541015625,40.78067398071289,1989.7281537035058,2
2,5,2009-01-09 15:01:20 UTC,-73.992826,40.751271,-73.982786,40.742432,1297.099941692179,1
194,9,2013-01-09 14:42:00 UTC,-73.946852,40.775802,-73.96434,40.760703,2234.163504030353,1
119,13,2013-07-06 17:18:00 UTC,-73.950655,40.783282,-73.984365,40.769802,3215.4581617269687,1
25,7,2013-10-08 17:29:00 UTC,-73.976512,40.765277,-73.977672,40.778052,1422.0335592311005,1
9,9,2014-12-07 12:26:00 UTC,-73.984977,40.752122,-74.000925,40.757982,1495.7239153509965,1
2,14,2015-05-17 08:02:59 UTC,-73.97920989990234,40.72368240356445,-74.01746368408203,40.711395263671875,3508.393317445615,1
66,5,2011-06-09 00:53:00 UTC,-73.983052,40.722588,-73.988022,40.733738,1307.4430971359322,3
5,10,2014-11-12 12:40:29 UTC,-74.002581,40.739572,-73.99458,40.760682,2439.684854585422,1
1,5,2010-06-04 14:49:00 UTC,-73.993452,40.761447,-73.979662,40.759618,1181.99467126794,5
24,9,2010-11-08 20:42:00 UTC,-73.970705,40.761643,-73.992833,40.727647,4212.495412035023,2
4,14,2011-03-09 07:24:34 UTC,-73.974492,40.751369,-74.010585,40.703364,6141.320826528041,1
142,7,2011-08-04 10:38:00 UTC,-73.991607,40.76318,-73.982718,40.76239,755.6622791339225,2
1,52,2009-03-25 00:08:52 UTC,-74.035839,40.74732,-74.035839,40.74732,0.0,1
76,11,2010-03-22 10:01:00 UTC,-74.00767,40.732177,-73.974663,40.758932,4074.1639145779723,1
1,8,2012-03-25 09:22:45 UTC,-73.986681,40.725659,-73.977068,40.754504,3304.5125062898655,1
217,12,2012-06-05 09:16:00 UTC,-73.965315,40.790852,-73.978195,40.766375,2927.5551621990503,6
4,9,2012-11-06 11:33:14 UTC,-73.972195,40.765883,-73.967942,40.761951,565.343297087952,1
217,9,2014-05-22 18:30:00 UTC,-73.982272,40.748357,-73.969325,40.763877,2041.0066128323388,1
87,10,2014-10-17 08:28:00 UTC,-73.991797,40.735262,-73.975915,40.748697,2006.3230935815434,6
201,35,2012-12-06 18:05:00 UTC,-73.95331,40.787772,-73.944352,40.719772,7589.139186067608,2
215,9,2012-12-06 18:05:00 UTC,-73.96083,40.77308,-73.978372,40.774907,1494.7625004577244,1
1,17,2014-07-20 12:48:35 UTC,-73.97339,40.743883,-73.954021,40.766063,2956.6902036064903,1
193,6,2009-01-25 18:41:00 UTC,-74.000122,40.74308,-74.00615,40.734233,1106.5511292345261,5
1,14,2010-03-27 02:26:39 UTC,-73.961598,40.716487,-73.960417,40.674963,4612.238728805426,2
4,3,2011-01-05 17:39:00 UTC,-73.966957,40.761268,-73.967912,40.765535,480.6595433440155,1
1,32,2012-05-11 15:03:53 UTC,-73.872862,40.774105,-73.970593,40.764393,8321.412298404388,2
5,5,2010-01-03 10:20:12 UTC,-73.995083,40.739527,-73.999599,40.726264,1521.4422598282079,3
4,11,2012-11-08 21:00:00 UTC,-73.972018,40.750142,-74.006008,40.73622,3260.648982224436,5
3,4,2013-11-23 23:34:03 UTC,-73.993701,40.741569,-73.987999,40.748834,939.5743848890834,1
1,10,2010-06-17 16:12:58 UTC,-73.966473,40.7575,-73.993336,40.745051,2656.6345152509534,1
2,17,2012-08-19 19:56:34 UTC,-73.87082,40.773748,-73.808317,40.7003,9715.918175318668,1
1,5,2013-05-10 16:39:08 UTC,-73.971696,40.763378,-73.962035,40.776598,1679.4417368260022,1
6,19,2013-09-17 04:22:00 UTC,-73.98721,40.729325,-73.931985,40.697207,5873.388256086379,1
5,8,2014-01-06 21:21:00 UTC,-73.988492,40.717977,-73.97818,40.737407,2326.905067076424,1
21,7,2010-09-30 08:38:00 UTC,-73.986588,40.72165,-74.008005,40.717167,1876.7742390412657,2
111,6,2012-10-06 15:47:00 UTC,-73.98213,40.774807,-73.973583,40.789645,1798.7801134256824,5
25,8,2013-02-11 00:13:00 UTC,-74.002843,40.733692,-73.987882,40.72859,1385.031639464996,1
213,16,2014-09-12 23:10:00 UTC,-73.983837,40.676052,-74.002522,40.723145,5462.820691014991,1
225,49,2009-09-22 21:14:00 UTC,-73.977023,40.7526,-73.79031,40.643783,19875.79361563165,2
4,10,2012-02-03 13:46:35 UTC,-73.988006,40.737723,-73.965699,40.766095,3670.9138749193394,1
159,22,2012-02-12 01:26:00 UTC,-73.9882,40.75909,-73.923683,40.86861,13324.801523211188,5
93,11,2012-12-21 06:47:00 UTC,-73.947472,40.771227,-73.981832,40.760272,3145.8448702273186,1
1,12,2014-11-01 16:51:09 UTC,-73.984723,40.748023,-73.977245,40.757891,1264.7726063915225,2
167,5,2013-01-26 18:36:00 UTC,-73.950305,40.785607,-73.943587,40.789532,715.1973301328788,1
3,6,2013-05-20 11:03:50 UTC,-73.980735,40.747911,-73.97053,40.761998,1786.012392258147,1
2,16,2015-05-31 07:33:18 UTC,-73.99698638916016,40.755428314208984,-73.95319366455078,40.802101135253906,6366.30374608316,3
3,9,2015-02-15 22:41:32 UTC,-74.00344848632812,40.73310089111328,-74.00800323486328,40.70721435546875,2900.305286217578,1
12,8,2009-06-25 10:29:00 UTC,-73.9578,40.768003,-73.981712,40.763392,2082.8693848683115,1
2,10,2009-07-23 17:05:10 UTC,-73.983735,40.746697,-73.954411,40.772219,3763.4948981919706,1
1,8,2011-03-19 15:00:27 UTC,-73.98103,40.729782,-73.993011,40.752803,2749.4589743818824,1
4,8,2011-05-06 11:37:14 UTC,-73.963115,40.774034,-73.975251,40.760823,1789.4701662029274,1
1,17,2013-02-08 09:50:04 UTC,-73.962458,40.759027,-73.986199,40.753397,2100.0206804606705,1
1,12,2010-08-24 01:39:26 UTC,-74.003848,40.720855,-73.98098,40.668304,6147.450146027375,1
144,52,2014-05-13 22:19:00 UTC,-73.982265,40.762062,-73.76855,40.675135,20475.470995601783,1
167,16,2014-10-25 21:24:00 UTC,-74.005677,40.745547,-73.962663,40.794295,6518.6999419417,1
5,8,2015-04-19 22:21:12 UTC,-73.98548889160156,40.74728012084961,-74.00767517089844,40.74076843261719,2008.5341720005047,1
96,17,2010-05-17 07:44:00 UTC,-73.950972,40.785633,-74.01024,40.720302,8813.925633808634,1
4,5,2011-10-26 03:37:00 UTC,-74.00844,40.711253,-74.001313,40.731078,2282.4003077557045,1
2,5,2015-04-18 09:30:31 UTC,-73.98091125488281,40.7420654296875,-73.97698974609375,40.75165557861328,1115.2873871585753,1
3,16,2009-02-27 13:31:21 UTC,-73.974938,40.762091,-74.003309,40.706195,6653.7682548471,2
126,12,2009-07-16 20:33:00 UTC,-73.980755,40.680558,-73.98911,40.726788,5182.087164876837,2
2,10,2011-05-16 13:10:38 UTC,-73.991245,40.739058,-73.992972,40.76768,3181.792775206184,1
24,9,2013-08-09 21:19:00 UTC,-73.992583,40.730417,-74.005352,40.740247,1534.6032388119552,1
12,4,2010-03-14 15:40:00 UTC,-73.979872,40.749027,-73.976553,40.757498,981.5651627119482,5
2,6,2011-04-27 13:19:48 UTC,-73.971541,40.764009,-73.975937,40.755971,966.7196059694842,1
5,21,2015-01-30 00:16:06 UTC,-74.0010986328125,40.72149658203125,-73.95943450927734,40.6530647277832,8375.68097308142,1
3,8,2014-11-04 12:11:19 UTC,-73.975189,40.759095,-73.98051,40.76761,1046.8926978594022,1
1,4,2009-12-27 21:07:39 UTC,-74.003018,40.73978,-73.991533,40.733091,1221.849108094303,1
2,5,2010-07-04 13:07:47 UTC,-73.991037,40.750049,-73.980438,40.75193,919.1463112576309,2
128,15,2011-06-12 13:33:00 UTC,-73.949477,40.768018,-74.003118,40.733022,5968.639083782077,5
2,14,2012-08-28 12:29:40 UTC,-73.992214,40.758864,-73.9938,40.722718,4016.208296260258,1
91,7,2012-11-11 18:23:00 UTC,-73.999998,40.727087,-73.992448,40.735602,1140.5704722978403,1
2,35,2013-03-24 18:05:42 UTC,-73.863891,40.770005,-74.007246,40.705533,14067.117550353027,1
136,8,2014-08-13 08:26:00 UTC,-73.954598,40.78676,-73.966013,40.768112,2284.077161733705,1
56,4,2009-01-16 21:10:00 UTC,-73.994143,40.751193,-73.988897,40.759742,1047.631973488297,1
7,4,2011-01-21 18:43:46 UTC,-73.982279,40.768364,-73.985968,40.762939,678.1975192243774,1
3,11,2011-02-26 20:27:36 UTC,-73.981496,40.781004,-73.99592,40.738813,4840.99885928181,1
4,23,2013-06-22 02:35:01 UTC,-73.997728,40.746099,-73.947656,40.829451,10175.425418888142,1
15,5,2009-06-06 23:56:00 UTC,-73.982357,40.762498,-73.97321,40.755345,1107.9450134596964,2
115,5,2009-01-24 09:51:00 UTC,-73.96707,40.769178,-73.954895,40.77821,1436.1287941979158,1
3,10,2015-02-27 07:50:56 UTC,-73.94402313232422,40.77595901489258,-73.95504760742188,40.78507995605469,1375.4880726642568,1
4,4,2009-03-25 14:48:49 UTC,-73.982095,40.774001,-73.975373,40.787111,1562.5321028492733,1
17,6,2010-09-10 18:45:00 UTC,-73.98353,40.766992,-73.986255,40.779708,1430.7224526898272,4
3,11,2011-08-31 13:47:02 UTC,-73.981154,40.729204,-74.007407,40.74851,3084.418079954657,2
1,11,2013-04-12 04:39:51 UTC,-73.963511,40.761732,-73.917488,40.739776,4588.164381399996,1
2,5,2009-05-29 09:46:11 UTC,-73.983415,40.761844,-73.990414,40.756375,847.4253700060453,2
2,5,2010-07-15 19:09:01 UTC,-74.006055,40.733166,-74.002895,40.74553,1398.711408870378,1
158,8,2009-09-07 18:52:00 UTC,-73.952198,40.788107,-73.980767,40.774995,2817.069433545603,1
1,6,2010-06-09 06:20:32 UTC,-74.008083,40.719238,-73.99832,40.737977,2238.4288559162896,1
2,9,2012-04-15 17:02:44 UTC,-73.995636,40.746573,-73.984437,40.767145,2472.5044513319344,1
129,4,2013-02-06 14:52:00 UTC,-73.972072,40.755692,-73.972082,40.755727,3.977398856779838,2
35,5,2011-12-13 05:56:00 UTC,-73.99049,40.755982,-73.974202,40.75421,1389.4585441541346,4
22,16,2014-07-27 08:22:00 UTC,-73.95485,40.76542,-74.00751,40.73877,5341.83965087072,2
2,17,2013-06-06 15:23:56 UTC,-73.954462,40.764046,-73.994593,40.729272,5138.055440158476,2
58,24,2014-07-12 15:22:00 UTC,-74.01278,40.707952,-73.997932,40.760632,5982.99281353615,6
13,6,2010-05-25 20:14:00 UTC,-74.005278,40.735298,-73.986698,40.729892,1680.4248401591228,1
4,6,2012-09-08 00:49:20 UTC,-74.004935,40.729625,-74.016156,40.71741,1654.9052083427096,1
6,6,2014-01-08 21:55:58 UTC,-73.998488,40.726303,-73.998488,40.726303,0.0,1
17,4,2012-08-30 18:57:00 UTC,-73.9265,40.765577,-73.937897,40.76451,969.5532959356581,3
89,27,2013-05-02 07:41:00 UTC,-73.987285,40.718622,-73.959295,40.778482,7055.1937413111855,1
78,16,2014-02-05 00:28:00 UTC,-73.996652,40.744495,-73.980253,40.737635,1580.7862486837787,1
32,16,2010-01-12 17:11:00 UTC,-73.959222,40.763282,-73.9633,40.716935,5158.295961825314,1
1,15,2010-11-07 17:14:23 UTC,-73.974895,40.751455,-73.981754,40.783542,3609.9947556731395,2
113,26,2012-04-22 00:35:00 UTC,-73.863072,40.768622,-73.982145,40.736167,10681.999766091225,6
198,5,2013-01-05 21:36:00 UTC,-73.989692,40.735497,-73.982012,40.739392,779.6912978872656,1
1,6,2013-10-05 09:12:21 UTC,-74.00031,40.747961,-73.993636,40.757229,1173.4217770735024,1
7,7,2009-11-16 23:53:00 UTC,-74.00145,40.717487,-74.017455,40.709785,1600.1564345029253,1
85,12,2011-04-05 11:29:00 UTC,-73.985185,40.72777,-73.980605,40.759143,3505.3482560497314,1
241,11,2012-04-25 20:39:00 UTC,-73.993973,40.746577,-74.00506,40.709365,4237.160927990326,1
49,42,2011-01-10 16:07:00 UTC,-73.795677,40.807722,-73.978683,40.724365,18012.156004697186,2
129,5,2011-01-14 18:10:00 UTC,-73.98637,40.74738,-73.975567,40.744572,964.2075418362465,2
1,5,2012-04-02 08:02:16 UTC,-73.948001,40.77854,-73.958566,40.778483,891.879613442069,2
1,10,2010-02-10 08:57:54 UTC,-73.954108,40.766901,-73.984133,40.743475,3632.6508347028143,1
4,7,2011-05-31 22:21:01 UTC,-73.994009,40.76144,-73.972811,40.792574,3893.0749995738365,1
2,4,2011-09-26 09:32:42 UTC,-73.995331,40.739986,-73.987655,40.736707,743.6210494767591,1
6,12,2012-10-23 08:09:25 UTC,-73.982332,40.768633,-73.983343,40.744372,2695.5170574733556,1
4,16,2013-09-07 22:29:00 UTC,-73.9952,40.731697,-73.94977,40.780347,6626.072014437794,1
27,4,2012-07-31 19:20:00 UTC,-74.002707,40.72664,-73.991825,40.72722,921.5807356623947,2
125,4,2011-08-26 08:00:00 UTC,-73.990953,40.733067,-73.996235,40.72557,944.5725963063059,1
3,15,2013-03-17 12:56:58 UTC,-73.985132,40.76853,-74.002285,40.730008,4516.454782784107,1
6,11,2015-05-25 15:11:09 UTC,-73.97221374511719,40.76557159423828,-73.97958374023438,40.73646926879883,3291.1750455321235,1
4,4,2009-04-08 19:11:10 UTC,-73.998287,40.72749,-73.989854,40.735239,1117.130655853987,2
2,11,2009-06-06 01:57:52 UTC,-73.980196,40.726966,-73.956413,40.77547,5748.612290630995,1
41,7,2011-02-27 14:45:00 UTC,-73.983758,40.74643,-73.963557,40.774088,3513.2769237053158,1
62,14,2012-01-13 11:28:00 UTC,-73.955268,40.782767,-73.932382,40.794812,2349.5611774980557,6
12,30,2012-03-16 07:58:00 UTC,-73.981942,40.763977,-73.870455,40.773607,9473.234419909455,5
1,6,2012-06-18 20:57:27 UTC,-73.98972,40.75238,-74.007553,40.743197,1818.8503330762176,1
56,3,2010-02-23 09:49:00 UTC,-73.995802,40.749905,-73.994543,40.750907,153.90332880562767,1
2,4,2012-01-06 07:05:08 UTC,-73.991863,40.754275,-73.983796,40.753213,691.3712164599242,1
87,12,2014-07-21 14:03:00 UTC,-73.973857,40.764185,-73.994435,40.750242,2327.427260151531,3
1,9,2014-08-05 11:44:33 UTC,-73.991485,40.754599,-74.00497,40.751693,1183.627067592827,1
2,2,2012-03-29 03:51:00 UTC,-73.989142,40.720105,-73.988777,40.720662,69.1154716346388,1
13,8,2012-06-30 13:43:00 UTC,-73.98948,40.743287,-73.965692,40.754512,2364.2848622682022,1
1,10,2014-01-31 04:49:53 UTC,-73.978991,40.72375,-73.963046,40.711855,1886.7674669097678,1
86,5,2010-11-16 19:40:00 UTC,-74.000552,40.727492,-74.005037,40.719123,1003.6435576681354,1
2,7,2012-12-15 19:11:53 UTC,-74.002462,40.718762,-74.007071,40.705536,1519.484937706873,2
3,12,2014-07-20 23:51:54 UTC,-73.984997,40.768466,-73.944564,40.800466,4927.0547687824355,1
21,49,2010-05-24 14:24:00 UTC,-73.982483,40.75674,-73.789985,40.64691,20332.740044041537,1
53,4,2012-08-18 18:33:00 UTC,-73.947035,40.776027,-73.955498,40.764307,1484.7279733116386,1
95,7,2009-08-08 21:32:00 UTC,-73.977897,40.762802,-73.99153,40.750252,1807.6584302177087,5
52,5,2010-01-08 00:28:00 UTC,-73.986402,40.754723,-73.998898,40.739248,2016.6749073250078,1
123,6,2010-09-19 19:28:00 UTC,-73.967425,40.755712,-73.983035,40.734913,2659.4942820889337,5
211,9,2012-05-16 18:14:00 UTC,-73.971088,40.792648,-73.968405,40.769673,2561.3987520613305,1
6,6,2009-02-13 16:54:52 UTC,-73.959669,40.779718,-73.976259,40.788413,1700.9746129227583,1
5,7,2009-06-20 19:28:37 UTC,-73.979345,40.77663,-73.973842,40.757074,2220.8283110580737,1
11,9,2013-09-03 08:08:00 UTC,-73.98088,40.779967,-73.953747,40.78777,2448.723046497567,1
1,13,2013-01-20 14:33:27 UTC,-74.008125,40.738935,-73.980522,40.759953,3298.784586230275,2
1,19,2013-07-31 06:51:13 UTC,-73.988834,40.76428,-73.941405,40.838664,9178.917879951034,1
4,5,2013-09-09 22:12:59 UTC,-73.976474,40.765048,-73.964665,40.762986,1023.0430796460956,1
5,8,2009-01-23 07:28:00 UTC,-73.996068,40.732605,-73.980675,40.761862,3499.4030978531005,1
3,9,2011-02-18 13:19:49 UTC,-73.973211,40.760752,-73.974265,40.788281,3058.3777769558515,1
1,18,2013-05-11 19:51:00 UTC,-73.997845,40.721235,-73.988257,40.764125,4831.243611202656,1
131,12,2014-09-13 12:17:00 UTC,-73.984227,40.766897,-73.96239,40.776037,2104.5280374303206,1
3,7,2009-04-21 22:59:27 UTC,-73.968534,40.752603,-73.992625,40.742916,2301.484275614827,1
3,4,2009-09-26 15:17:20 UTC,-73.95554,40.781958,-73.962196,40.772095,1230.999521720169,2
1,16,2010-05-28 21:33:07 UTC,-73.789506,40.64704,-73.815622,40.680364,4309.417189024444,1
2,12,2011-05-02 08:20:11 UTC,-73.978602,40.76412,-74.008858,40.715637,5959.717997489411,2
6,4,2015-02-14 19:00:23 UTC,-73.96197509765625,40.7761116027832,-73.95484924316406,40.77407455444336,642.6951066596829,1
8,15,2011-05-02 12:44:59 UTC,-74.006636,40.751407,-73.954979,40.765281,4626.104698337604,1
2,11,2012-06-24 17:33:00 UTC,-73.954497,40.769857,-73.984315,40.746007,3654.380219686595,1
3,25,2010-05-22 23:29:57 UTC,-74.001343,40.74132,-73.928619,40.864267,14969.061684448348,1
1,8,2010-06-30 02:22:05 UTC,-73.993112,40.719911,-73.956729,40.720723,3075.315501516826,1
97,6,2013-04-26 02:06:00 UTC,-73.978778,40.753502,-73.973247,40.748147,756.1826089352622,1
1,6,2013-05-02 03:57:12 UTC,-73.99578,40.716218,-74.009132,40.72078,1236.6664593801784,1
3,6,2011-01-23 11:44:28 UTC,-74.003665,40.736906,-73.997843,40.724187,1495.6087147386827,1
3,7,2012-10-14 21:06:27 UTC,-73.97733,40.74948,-73.987669,40.732709,2056.9726193925717,1
